date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:39	47381/47381	---M-Z	200	added ('OK')	text/html	etag:%22f08b7f04b6795c563d1c1c625f5af19e-ssl-df%22	https://appstack.bootlab.io/dashboard-default.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/dashboard-default.html	(from )
10:34:40	1439/1439	---MCZ	404	error ('Not%20Found')	text/html	etag:1562762081-ssl-df	https://appstack.bootlab.io/robots.txt		(from )
10:34:41	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2239e53393f7e8def0ddecde17594db0ce-ssl%22	https://appstack.bootlab.io/img/favicon.ico	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/favicon.ico	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:43	475242/475242	---M-Z	200	added ('OK')	text/css	etag:%22e55d121feec63c9b463ed030c7d2db8b-ssl-df%22	https://appstack.bootlab.io/css/light.css	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/css/light.css	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:44	36595/36595	---MCZ	200	added ('OK')	application/javascript	etag:%2242ca8f6571a401814e83ee57e4b290a8-ssl-df%22	https://appstack.bootlab.io/js/settings.js	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/js/settings.js	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:46	21603/21603	---MCZ	200	added ('OK')	text/html	etag:%220e7c3c110621d07bb63f5bd8b67ceadf-ssl-df%22	https://appstack.bootlab.io/index.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/index.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:47	50308/50308	---MCZ	200	added ('OK')	text/html	etag:%2204119d279919f297389f44380eb108db-ssl-df%22	https://appstack.bootlab.io/dashboard-analytics.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/dashboard-analytics.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:49	42423/42423	---MCZ	200	added ('OK')	text/html	etag:%22963a847a3fa4ffaec8bbc669f301f734-ssl-df%22	https://appstack.bootlab.io/dashboard-saas.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/dashboard-saas.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:50	40084/40084	---MCZ	200	added ('OK')	text/html	etag:%22f9c8b075121b544f624432dee86e9895-ssl-df%22	https://appstack.bootlab.io/dashboard-social.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/dashboard-social.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:52	48023/48023	---MCZ	200	added ('OK')	text/html	etag:%22d67ee51bcf9756f16ce2eeda4b59d402-ssl-df%22	https://appstack.bootlab.io/dashboard-crypto.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/dashboard-crypto.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:53	36787/36787	---MCZ	200	added ('OK')	text/html	etag:%22b034620de77672dccfdfa36985a91c42-ssl-df%22	https://appstack.bootlab.io/pages-profile.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-profile.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:55	36016/36016	---MCZ	200	added ('OK')	text/html	etag:%22a428ee2c6f7e48b7c2a204abc4863290-ssl-df%22	https://appstack.bootlab.io/pages-settings.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-settings.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:57	39602/39602	---MCZ	200	added ('OK')	text/html	etag:%2291ad6d4a8c9a9a8b6fc20cbd07106bd3-ssl-df%22	https://appstack.bootlab.io/pages-clients.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-clients.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:34:58	43336/43336	---MCZ	200	added ('OK')	text/html	etag:%22f3061beafaa3964f67871e20c7ba0efa-ssl-df%22	https://appstack.bootlab.io/pages-projects-list.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-projects-list.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:00	41685/41685	---MCZ	200	added ('OK')	text/html	etag:%22fef2b336de9936a14cf1239b4c6fd736-ssl-df%22	https://appstack.bootlab.io/pages-projects-detail.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-projects-detail.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:01	31529/31529	---MCZ	200	added ('OK')	text/html	etag:%22cf8324b49863d00523bedcb3c6fce66b-ssl-df%22	https://appstack.bootlab.io/pages-invoice.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-invoice.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:03	37349/37349	---MCZ	200	added ('OK')	text/html	etag:%2250433476c48bc5e8216e30a46c32e45c-ssl-df%22	https://appstack.bootlab.io/pages-pricing.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-pricing.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:05	41219/41219	---MCZ	200	added ('OK')	text/html	etag:%222054b02ac287fbb672be90ce678cd32c-ssl-df%22	https://appstack.bootlab.io/pages-tasks.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-tasks.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:06	40560/40560	---MCZ	200	added ('OK')	text/html	etag:%224c42b8ca391a46351b11da0c2775b1cf-ssl-df%22	https://appstack.bootlab.io/pages-chat.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-chat.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:08	28711/28711	---MCZ	200	added ('OK')	text/html	etag:%222061461fa69c7f63ccafbe19c36bcd68-ssl-df%22	https://appstack.bootlab.io/pages-blank.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-blank.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:09	4070/4070	---MCZ	200	added ('OK')	text/html	etag:%22b0ca80683470126bfb556fa992dc1caf-ssl-df%22	https://appstack.bootlab.io/pages-sign-in.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-sign-in.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:10	3887/3887	---MCZ	200	added ('OK')	text/html	etag:%226ddd8e5379220cf09bd42ac167bdb6a0-ssl-df%22	https://appstack.bootlab.io/pages-sign-up.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-sign-up.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:12	3230/3230	---MCZ	200	added ('OK')	text/html	etag:%22a468fc27040acb26262443198564199a-ssl-df%22	https://appstack.bootlab.io/pages-reset-password.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-reset-password.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:13	2717/2717	---MCZ	200	added ('OK')	text/html	etag:%22028a8fb9dc60ab3338500b8d17492f18-ssl-df%22	https://appstack.bootlab.io/pages-404.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-404.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:15	2760/2760	---MCZ	200	added ('OK')	text/html	etag:%22c9885e8e5a7c749d153c0ffa6549d317-ssl-df%22	https://appstack.bootlab.io/pages-500.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/pages-500.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:16	30392/30392	---MCZ	200	added ('OK')	text/html	etag:%22dcba0457fc6a262e44190b09542e581a-ssl-df%22	https://appstack.bootlab.io/docs-introduction.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/docs-introduction.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:18	36043/36043	---MCZ	200	added ('OK')	text/html	etag:%229978aff4744a90699c3ee182a9328172-ssl-df%22	https://appstack.bootlab.io/docs-installation.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/docs-installation.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:20	31074/31074	---MCZ	200	added ('OK')	text/html	etag:%22327d2bf1e86a4b0bf96273dfbcbfb44a-ssl-df%22	https://appstack.bootlab.io/docs-customization.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/docs-customization.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:21	33691/33691	---MCZ	200	added ('OK')	text/html	etag:%2210fcae8f4e311a418f1c543138e8cbf3-ssl-df%22	https://appstack.bootlab.io/docs-plugins.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/docs-plugins.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:23	31163/31163	---MCZ	200	added ('OK')	text/html	etag:%22aaced44a83c88e8cf4b1a66097b26ae8-ssl-df%22	https://appstack.bootlab.io/docs-changelog.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/docs-changelog.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:24	43668/43668	---MCZ	200	added ('OK')	text/html	etag:%225f5def07c49397c8cd6c8979a3027648-ssl-df%22	https://appstack.bootlab.io/ui-alerts.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-alerts.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:26	50140/50140	---MCZ	200	added ('OK')	text/html	etag:%22125ded170b85b79f4a07a3cce5e9c301-ssl-df%22	https://appstack.bootlab.io/ui-buttons.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-buttons.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:28	35002/35002	---MCZ	200	added ('OK')	text/html	etag:%2256100646750b5edcf5093925d6cf727c-ssl-df%22	https://appstack.bootlab.io/ui-cards.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-cards.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:29	36782/36782	---MCZ	200	added ('OK')	text/html	etag:%2278aac51a23bdcb7837fde6b5a3cbbb74-ssl-df%22	https://appstack.bootlab.io/ui-carousel.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-carousel.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:31	30340/30340	---MCZ	200	added ('OK')	text/html	etag:%22636842298e2d55fb416785de8dc45c5f-ssl-df%22	https://appstack.bootlab.io/ui-embed-video.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-embed-video.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:33	49059/49059	---MCZ	200	added ('OK')	text/html	etag:%2276c741bb0a3a6447dcca204484a2a737-ssl-df%22	https://appstack.bootlab.io/ui-general.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-general.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:34	35900/35900	---MCZ	200	added ('OK')	text/html	etag:%22943e727cb7998aeda448e9fc1215e4d5-ssl-df%22	https://appstack.bootlab.io/ui-grid.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-grid.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:36	48199/48199	---MCZ	200	added ('OK')	text/html	etag:%229cb7e65ca623f2d04b571b43f2bab475-ssl-df%22	https://appstack.bootlab.io/ui-modals.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-modals.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:37	36976/36976	---MCZ	200	added ('OK')	text/html	etag:%226b95faa0d454931f5c6cbe4c146ca802-ssl-df%22	https://appstack.bootlab.io/ui-offcanvas.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-offcanvas.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:39	45268/45268	---MCZ	200	added ('OK')	text/html	etag:%221aaf66f4cac293a6fbbaca867b487fe8-ssl-df%22	https://appstack.bootlab.io/ui-tabs.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-tabs.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:40	34076/34076	---MCZ	200	added ('OK')	text/html	etag:%22ec8f2680f3cfdc7bb8c5c69b52c1ab20-ssl-df%22	https://appstack.bootlab.io/ui-typography.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/ui-typography.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:42	69783/69783	---MCZ	200	added ('OK')	text/html	etag:%22e78deec8461ee9855497cc9603098938-ssl-df%22	https://appstack.bootlab.io/icons-feather.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/icons-feather.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:44	232193/232193	---MCZ	200	added ('OK')	text/html	etag:%22fad8dc6763f835e1e7bdbff2d74855f8-ssl-df%22	https://appstack.bootlab.io/icons-font-awesome.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/icons-font-awesome.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:45	36285/36285	---MCZ	200	added ('OK')	text/html	etag:%22fa4e1ab9b7f5b6c445655783a8bcb45e-ssl-df%22	https://appstack.bootlab.io/forms-layouts.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-layouts.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:46	35931/35931	---MCZ	200	added ('OK')	text/html	etag:%227cffd02f48a9a7ff200b97b722343873-ssl-df%22	https://appstack.bootlab.io/forms-basic-inputs.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-basic-inputs.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:48	38167/38167	---MCZ	200	added ('OK')	text/html	etag:%2203da4fab37db0dc85cff9260b7496f29-ssl-df%22	https://appstack.bootlab.io/forms-input-groups.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-input-groups.html	(from https://appstack.bootlab.io/dashboard-default.html)
